Date,Hotel Name,Price_USD,Source
2026-06-22,PC Hotel Karachi,97,Momondo
2026-06-25,PC Hotel Karachi,97,KAYAK
2026-06-26,PC Hotel Karachi,120,Expedia
2026-06-27,PC Hotel Karachi,120,Expedia
2026-06-28,PC Hotel Karachi,120,Expedia
2026-06-29,PC Hotel Karachi,120,Expedia
2026-06-30,PC Hotel Karachi,97,Momondo
2026-07-01,PC Hotel Karachi,97,Momondo
2026-07-02,PC Hotel Karachi,97,Momondo
2026-07-03,PC Hotel Karachi,135,Pearl Continental Hotel Karachi
2026-07-04,PC Hotel Karachi,154,Expedia
2026-07-05,PC Hotel Karachi,97,Momondo
2026-07-06,PC Hotel Karachi,97,Momondo
2026-07-07,PC Hotel Karachi,131,Expedia
